Abelian group,आबेली समूह,आबेल गट
coefficient of elasticity,प्रत्यास्थता गुणांक,प्रत्यास्थता गुणांक
coefficient of expansion,प्रसार गुणांक,प्रसरण गुणांक
coefficient of friction,घर्षण गुणांक,घर्षण गुणांक
coefficient of linear expansion,अनुदैर्घ्य प्रसार का गुणांक,रेषीय प्रसरण गुणांक
coefficient of regression,समाश्रयण गुणांक,प्रतिगमन गुणांक
coefficient of surface tension,पृष्ठ तनाव का गुणांक,पृष्ठभाग ताणगुणांक
coefficient of variation,विचरण गुणांक,विचलन गुणांक
cofactor,"सह-खण्ड, सह गुणन खंड,सहकारक",सहगुणक
coin throw (coin toss),सिक्का उछाल,नाणेफेक
collection of sample,प्रतिदर्श-संचय,नमुना संकलन
collinear,सरेख,एकरेषीय
collinearity,सरेखता,एकरेषीयता
column,"स्तंभ, कॉलम","रकाना, स्तंभ"
column equivalence,स्तंभतुल्यता,रकाना समतुल्यता
column equivalent,स्तंभ-तुल्य,रकाना समतुल्य
column equivalent matrix,स्तंभ तुल्य आव्यूह,रकाना समतुल्य सारणी
column matrix,स्तंभ आव्यूह,रकाना सारणी
column rank,स्तंभ कोटि,रकाना कोटी
column reduced echolon matrix,स्तंभ समानीत सोपानक आव्यूह,रकाना संक्षिप्त सोपानक सारणी
column vector,स्तंभ सदिश,रकाना सदिश
columnwise,स्तंभानुसार,रकानानुसार
